section,language_type,en,ja,positions,followed
section8,word,item,品目,[],Bringing flammable items into the cabin is prohibited.
section8,word,cabin,(飛行機・船などの)客室,[],Bringing flammable items into the cabin is prohibited.
section8,word,prohibit,(法律・規制で)～(行為)を禁止する,[],Bringing flammable items into the cabin is prohibited.
section8,word,flight,(飛行機の)便,[],Our flight to Vienna was delayed on account of a minor accident.
section8,word,Vienna,ウィーン,[],Our flight to Vienna was delayed on account of a minor accident.
section8,word,delay,～を遅らせる,[],Our flight to Vienna was delayed on account of a minor accident.
section8,word,on account of,～(好ましくないこと)が理由で,[],Our flight to Vienna was delayed on account of a minor accident.
section8,word,minor,(程度・重要度などが)小さな,[],Our flight to Vienna was delayed on account of a minor accident.
section8,word,accident,事故,[],Our flight to Vienna was delayed on account of a minor accident.
section8,word,plane,飛行機,[],"The plane blew up and plunged into the ocean, killing all the people on board."
section8,word,blow(～)up,(建物などが)爆発する,[],"The plane blew up and plunged into the ocean, killing all the people on board."
section8,word,plunge (～) (into A),(Aに)勢いよく[激しく]飛び込む,[],"The plane blew up and plunged into the ocean, killing all the people on board."
section8,word,ocean,[the-]海,[],"The plane blew up and plunged into the ocean, killing all the people on board."
section8,word,～ on board,(飛行機などに)乗っている,[],"The plane blew up and plunged into the ocean, killing all the people on board."
section8,word,around the clock,昼夜休むことなく,[],They are working around the clock looking into the cause of the crash.
section8,word,look into,～を調査する,[],They are working around the clock looking into the cause of the crash.
section8,word,cause,原因,[],They are working around the clock looking into the cause of the crash.
section8,word,crash,(飛行機の)墜落,[],They are working around the clock looking into the cause of the crash.
section8,word,unfortunately,不幸[不運]にも,[],"Unfortunately, few passengers survived the catastrophe."
section8,word,few,(数が)ほとんどない[いない],[],"Unfortunately, few passengers survived the catastrophe."
section8,word,passenger,(乗り物に)乗る人、乗客,[],"Unfortunately, few passengers survived the catastrophe."
section8,word,survive,(～(事故など)で)生き残る,[],"Unfortunately, few passengers survived the catastrophe."
section8,word,catastrophe,大惨事,[],"Unfortunately, few passengers survived the catastrophe."
section8,word,aviation,航空,[],The aviation expert analyzed the statistics in detail.
section8,word,expert,専門家、評論家,[],The aviation expert analyzed the statistics in detail.
section8,word,analyze,～を分析する,[],The aviation expert analyzed the statistics in detail.
section8,word,statistics,統計,[],The aviation expert analyzed the statistics in detail.
section8,word,in detail,詳細に,[],The aviation expert analyzed the statistics in detail.
section8,word,on behalf of,～の代表[代理]として,[],"On behalf of all the staff, I'd like to express our sympathy for the victims."
section8,word,staff,社員、職員(全体),[],"On behalf of all the staff, I'd like to express our sympathy for the victims."
section8,word,express,～を表現する,[],"On behalf of all the staff, I'd like to express our sympathy for the victims."
section8,word,sympathy,同情、共感,[],"On behalf of all the staff, I'd like to express our sympathy for the victims."
section8,word,victim,犠牲者、被害者,[],"On behalf of all the staff, I'd like to express our sympathy for the victims."
section8,word,in a sense,ある意味では,[],"In a sense, he is to blame for the disaster."
section8,word,A is to blame (for B),(Bは)Aのせいだ,[],"In a sense, he is to blame for the disaster."
section8,word,disaster,惨事,[],"In a sense, he is to blame for the disaster."
section8,word,vehicle,車両、乗り物,[],The vehicles are inspected for defects every three months.
section8,word,inspect,～を(綿密に)検査する,[],The vehicles are inspected for defects every three months.
section8,word,defect,(機械などの)欠陥,[],The vehicles are inspected for defects every three months.
section8,word,every,～ごとに,[],The vehicles are inspected for defects every three months.
section9,word,"be amazed to hear[see, etc]",～を聞いて[見て](とても)驚く,[],I was amazed to see that our utility bills came to so much
section9,word,utility,(公益サービスの)電気、ガス、水道,[],I was amazed to see that our utility bills came to so much
section9,word,bill,請求書,[],I was amazed to see that our utility bills came to so much
section9,word,come to (1),(合計が)～になる,[],I was amazed to see that our utility bills came to so much
section9,word,turn ～off,～(水栓)を止める,[],Turn the faucet off! mom yelled in a rage.
section9,word,faucet,{米}水道の栓,[],Turn the faucet off! mom yelled in a rage.
section9,word,yell,(興奮して)(～と)叫ぶ,[],Turn the faucet off! mom yelled in a rage.
section9,word,in a rage,激怒して,[],Turn the faucet off! mom yelled in a rage.
section9,word,tighten,～をきつく締める,[],Tighten the lid so the food doesn't go bad.
section9,word,lid,（箱・鍋などの)蓋,[],Tighten the lid so the food doesn't go bad.
section9,word,so (that) A will do,Aが～するように,[],Tighten the lid so the food doesn't go bad.
section9,word,go bad,(食べ物などが)腐る、いたむ,[],Tighten the lid so the food doesn't go bad.
section9,word,borrow,～(もの)を(無料で)借りる,[],"Can I borrow your scissors? ""Sure, here you are."""
section9,word,scissors,はさみ,[],"Can I borrow your scissors? ""Sure, here you are."""
section9,word,sure,もちろん,[],"Can I borrow your scissors? ""Sure, here you are."""
section9,word,Here you are.,(物を渡すときに)はいどうぞ,[],"Can I borrow your scissors? ""Sure, here you are."""
section9,word,substitute ～ (for A),～を(Aの)代わりに使う,[],You can substitute some transparent glue for a needle and thread.
section9,word,transparent,透明な,[],You can substitute some transparent glue for a needle and thread.
section9,word,glue,接着剤,[],You can substitute some transparent glue for a needle and thread.
section9,word,needle,縫い針,[],You can substitute some transparent glue for a needle and thread.
section9,word,thread,(裁縫用)の糸,[],You can substitute some transparent glue for a needle and thread.
section9,word,dye,～を染める,[],I dyed this fabric and it shrank
section9,word,fabric,織物、生地,[],I dyed this fabric and it shrank
section9,word,shrink-shrank-shrunk,縮む,[],I dyed this fabric and it shrank
section9,word,get rid of,～を処分する[捨てる],[],I'm getting rid of this leather jacket because it's worn out at the elbows.
section9,word,leather,革,[],I'm getting rid of this leather jacket because it's worn out at the elbows.
section9,word,wear (～) out,～をすり切らす,[],I'm getting rid of this leather jacket because it's worn out at the elbows.
section9,word,elbow,(服)肘の部分,[],I'm getting rid of this leather jacket because it's worn out at the elbows.
section9,word,add A to B,AをBに加える,[],Add some flour to the mixture and stir it until it becomes thick.
section9,word,flour,小麦粉,[],Add some flour to the mixture and stir it until it becomes thick.
section9,word,mixture,混合物,[],Add some flour to the mixture and stir it until it becomes thick.
section9,word,stir,～をかき混ぜる,[],Add some flour to the mixture and stir it until it becomes thick.
section9,word,thick,濃い、とろみのある,[],Add some flour to the mixture and stir it until it becomes thick.
section9,word,do with,～をどうにかする[扱う],[],"What should we do with the leftovers? ""Keep them in the fridge for now. I'll heat them in the microwave later."""
section9,word,leftovers,(食事の)残り物,[],"What should we do with the leftovers? ""Keep them in the fridge for now. I'll heat them in the microwave later."""
section9,word,fridge,冷蔵庫,[],"What should we do with the leftovers? ""Keep them in the fridge for now. I'll heat them in the microwave later."""
section9,word,for now,とりあえず,[],"What should we do with the leftovers? ""Keep them in the fridge for now. I'll heat them in the microwave later."""
section9,word,microwave,電子レンジ,[],"What should we do with the leftovers? ""Keep them in the fridge for now. I'll heat them in the microwave later."""
section9,word,lay ～ out,～(大金)をつぎ込む,[],"I could have laid out all that money on a new PC, but on second thought I decided to put some aside for a rainy day."
section9,word,on second thought,考え直して,[],"I could have laid out all that money on a new PC, but on second thought I decided to put some aside for a rainy day."
section9,word,decide to do,～することに決める,[],"I could have laid out all that money on a new PC, but on second thought I decided to put some aside for a rainy day."
section9,word,put ～ aside,～(物・お金など)を取っておく,[],"I could have laid out all that money on a new PC, but on second thought I decided to put some aside for a rainy day."
section9,word,for a rainy day,まさかの時のために,[],"I could have laid out all that money on a new PC, but on second thought I decided to put some aside for a rainy day."
section9,word,cell phone,携帯電話,[],"A cell phone has become something of a necessity, and I can't do without one."
section9,word,something of a,ちょっとした,[],"A cell phone has become something of a necessity, and I can't do without one."
section9,word,necessity,必需品,[],"A cell phone has become something of a necessity, and I can't do without one."
section9,word,do without,～なしでやっていく,[],"A cell phone has become something of a necessity, and I can't do without one."
section9,word,no sooner A than B,Aした途端にBが起きる,[],No sooner had I sat back and relaxed than my wife asked me to do the chores.
section9,word,sit back,ゆったりと座る,[],No sooner had I sat back and relaxed than my wife asked me to do the chores.
section9,word,relax,くつろぐ,[],No sooner had I sat back and relaxed than my wife asked me to do the chores.
section9,word,chore,[-s]雑用,[],No sooner had I sat back and relaxed than my wife asked me to do the chores.
section9,word,lay-laid-laid,～を(そっと)置く,[],She laid the baby down and lay down beside him.
section9,word,lie down(lie-lay-lain),(体を休めるために)横になる,[],She laid the baby down and lay down beside him.
section10,word,put ～ away,～を(収納場所に）片付ける,[],Put this stuff away! It's in the way.
section10,word,stuff,もの、こと,[],Put this stuff away! It's in the way.
section10,word,in one's way/in the way(of),(～の)邪魔になって,[],Put this stuff away! It's in the way.
section10,word,make believe (that～),(～の)まねをして遊ぶ,[],"When the kids made believe they were dinosaurs, they were scolded by their mother."
section10,word,dinosaur,恐竜,[],"When the kids made believe they were dinosaurs, they were scolded by their mother."
section10,word,scold ～ (for A),(Aのことで)～(子供)を叱る,[],"When the kids made believe they were dinosaurs, they were scolded by their mother."
section10,word,bump into,～に(ドンと)ぶつかる,[],"After he bumped into the shelf, the priceless china fell and shattered into fragments."
section10,word,shelf,棚,[],"After he bumped into the shelf, the priceless china fell and shattered into fragments."
section10,word,priceless,とても高価な,[],"After he bumped into the shelf, the priceless china fell and shattered into fragments."
section10,word,china,陶磁器,[],"After he bumped into the shelf, the priceless china fell and shattered into fragments."
section10,word,shatter,粉々になる,[],"After he bumped into the shelf, the priceless china fell and shattered into fragments."
section10,word,fragment,(割れた)破片,[],"After he bumped into the shelf, the priceless china fell and shattered into fragments."
section10,word,keep an eye on,(万が一のことが起こらないよう)～から目を離さない、～を気をつけて見る,[],"Can you keep an eye on my kids for a while? I need to pick up Ken. No problem."""
section10,word,for a while,少しの間,[],"Can you keep an eye on my kids for a while? I need to pick up Ken. No problem."""
section10,word,pick ～ up,(車で)～を迎えに行く,[],"Can you keep an eye on my kids for a while? I need to pick up Ken. No problem."""
section10,word,neighbor,隣の住人,[],Our neighbor told us off for making a mess in his yard.
section10,word,tell ～ off (for A),(Aのことで)～(人)にがみがみ説教をする,[],Our neighbor told us off for making a mess in his yard.
section10,word,mess,散らかっていて汚い状態[もの],[],Our neighbor told us off for making a mess in his yard.
section10,word,yard,{米}(家の周りの)庭,[],Our neighbor told us off for making a mess in his yard.
section10,word,resemble,～に(外見などが)似ている,[],Dolly resembles her big sister in every way. You can't tell them apart.
section10,word,big sister,姉,[],Dolly resembles her big sister in every way. You can't tell them apart.
section10,word,in ～ way,～の点[意味]で,[],Dolly resembles her big sister in every way. You can't tell them apart.
section10,word,tell～apart,～(複数の人[もの])を見分ける,[],Dolly resembles her big sister in every way. You can't tell them apart.
section10,word,as a (general) rule,概して,[],"As a rule, twins have a lot in common."
section10,word,twin,双子の一方,[],"As a rule, twins have a lot in common."
section10,word,have a lot[nothing] in common (with～),(～と)共通点が多い[ない],[],"As a rule, twins have a lot in common."
section10,word,be tired of,～にうんざりしている,[],"I'm tired of doing the dishes, doing the laundry, and so on!"
section10,word,do the dishes,食器を洗う,[],"I'm tired of doing the dishes, doing the laundry, and so on!"
section10,word,do the laundry,洗濯する,[],"I'm tired of doing the dishes, doing the laundry, and so on!"
section10,word,and so on[forth],など,[],"I'm tired of doing the dishes, doing the laundry, and so on!"
section10,word,favorite,(一番の)お気に入りの,[],My favorite pastime is strolling along the shore. It's pleasant.
section10,word,pastime,余暇の楽しみ,[],My favorite pastime is strolling along the shore. It's pleasant.
section10,word,stroll,(リラックスして)ぶらぶらと歩く、散歩する,[],My favorite pastime is strolling along the shore. It's pleasant.
section10,word,shore,海岸、湖岸,[],My favorite pastime is strolling along the shore. It's pleasant.
section10,word,pleasant,(性格・雰囲気などが)楽しい、心地よい,[],My favorite pastime is strolling along the shore. It's pleasant.
section10,word,be exhausted (from[by] ～),(～で)疲れ切っている,[],"I'm exhausted! Let's take a break in the shade. ""Why not?"""
section10,word,take a break,一休みする,[],"I'm exhausted! Let's take a break in the shade. ""Why not?"""
section10,word,shade,日陰,[],"I'm exhausted! Let's take a break in the shade. ""Why not?"""
section10,word,Why not?,(勧誘の問に対して)もちろん,[],"I'm exhausted! Let's take a break in the shade. ""Why not?"""
section10,word,vending machine,自動販売機,[],"Bob, this vending machine is out of order. ""Oh no! I'm dying of thirst!"""
section10,word,out of order,調子が悪い、故障中の,[],"Bob, this vending machine is out of order. ""Oh no! I'm dying of thirst!"""
section10,word,be dying of,～(空腹・退屈など)で死にそうだ、たまらなく～だ,[],"Bob, this vending machine is out of order. ""Oh no! I'm dying of thirst!"""
section10,word,thirst,喉の渇き,[],"Bob, this vending machine is out of order. ""Oh no! I'm dying of thirst!"""
section10,word,faint,気を失う,[],"He fainted with hunger and fatigue, but came to after a while."
section10,word,hunger,空腹,[],"He fainted with hunger and fatigue, but came to after a while."
section10,word,fatigue,(倒れる寸前の)疲労,[],"He fainted with hunger and fatigue, but came to after a while."
section10,word,come to (2),意識を回復する,[],"He fainted with hunger and fatigue, but came to after a while."
section10,word,after a while,しばらくして,[],"He fainted with hunger and fatigue, but came to after a while."
section11,word,auditorium,{米}講堂,[],The auditorium was empty except for a single piece of furniture.
section11,word,empty,(中が)空の,[],The auditorium was empty except for a single piece of furniture.
section11,word,except for,～を除いては,[],The auditorium was empty except for a single piece of furniture.
section11,word,furniture,[集合的に]家具,[],The auditorium was empty except for a single piece of furniture.
section11,word,apartment,マンション,[],Any apartment will do as long as the rent is low. I'm not particular about it.
section11,word,will do,十分である、間に合う,[],Any apartment will do as long as the rent is low. I'm not particular about it.
section11,word,as long as ～,～である限り,[],Any apartment will do as long as the rent is low. I'm not particular about it.
section11,word,rent,家賃、賃料,[],Any apartment will do as long as the rent is low. I'm not particular about it.
section11,word,be particular with,～の好みがうるさい,[],Any apartment will do as long as the rent is low. I'm not particular about it.
section11,word,～-year-old,～歳の,[],His sixty-year-old cousin inherited a piece of real estate by a lake.
section11,word,inherit,～(財産)を相続する,[],His sixty-year-old cousin inherited a piece of real estate by a lake.
section11,word,real estate,不動産,[],His sixty-year-old cousin inherited a piece of real estate by a lake.
section11,word,so much for,～はここまでにしましょう,[],So much for small talk. Let's get down to business.
section11,word,small talk,(当たり障りのない)世間話、雑談,[],So much for small talk. Let's get down to business.
section11,word,get down to,(本気で)～(仕事など)に取りかかる,[],So much for small talk. Let's get down to business.
section11,word,resent,～に腹を立てる,[],Lucy resented the aggressive salesman trying to make her sign the contract.
section11,word,aggressive,強引な、押しの強い,[],Lucy resented the aggressive salesman trying to make her sign the contract.
section11,word,salesman/saleswoman,販売員,[],Lucy resented the aggressive salesman trying to make her sign the contract.
section11,word,make A do,(一方的に[無理に])Aに～させる,[],Lucy resented the aggressive salesman trying to make her sign the contract.
section11,word,sign,(～に)署名する,[],Lucy resented the aggressive salesman trying to make her sign the contract.
section11,word,contract,契約、契約書,[],Lucy resented the aggressive salesman trying to make her sign the contract.
section11,word,a number of,かなりの,[],There are a number of factors discouraging us from investing in stocks.
section11,word,factor,(結果や判断に影響を与える)要因、要素,[],There are a number of factors discouraging us from investing in stocks.
section11,word,discourage A from doing,Aに～する気をなくさせる,[],There are a number of factors discouraging us from investing in stocks.
section11,word,invest (A) (in B),(Aを)(Bに)投資する,[],There are a number of factors discouraging us from investing in stocks.
section11,word,stock,株、株式,[],There are a number of factors discouraging us from investing in stocks.
section11,word,import,～を輸入する,[],Japan imports various raw materials and exports manufactured goods.
section11,word,various,様々な,[],Japan imports various raw materials and exports manufactured goods.
section11,word,raw,生の,[],Japan imports various raw materials and exports manufactured goods.
section11,word,raw materials,(石油などの)原料,[],Japan imports various raw materials and exports manufactured goods.
section11,word,export,～を輸出する,[],Japan imports various raw materials and exports manufactured goods.
section11,word,manufacture,(大規模に)～を製造する,[],Japan imports various raw materials and exports manufactured goods.
section11,word,goods,商品、品物,[],Japan imports various raw materials and exports manufactured goods.
section11,word,in the course of,(長い)～の過程に,[],"In the course of its economic development, Japan has abandoned its traditional values."
section11,word,economic,経済の,[],"In the course of its economic development, Japan has abandoned its traditional values."
section11,word,development,発達、発展,[],"In the course of its economic development, Japan has abandoned its traditional values."
section11,word,abandon,～を見捨てる,[],"In the course of its economic development, Japan has abandoned its traditional values."
section11,word,traditional,伝統的な,[],"In the course of its economic development, Japan has abandoned its traditional values."
section11,word,value,[-s]価値観,[],"In the course of its economic development, Japan has abandoned its traditional values."
section11,word,be faced with,～(大変なこと)に直面する,[],The world is faced with an unprecedented crisis.
section11,word,unprecedented,いまだかつてない,[],The world is faced with an unprecedented crisis.
section11,word,crisis,危機,[],The world is faced with an unprecedented crisis.
section11,word,in short,要するに,[],"In short, the purpose of the regulations is to protect domestic industries."
section11,word,purpose,目的,[],"In short, the purpose of the regulations is to protect domestic industries."
section11,word,regulation,[-s]規制,[],"In short, the purpose of the regulations is to protect domestic industries."
section11,word,protect,～を保護する,[],"In short, the purpose of the regulations is to protect domestic industries."
section11,word,domestic,国内の,[],"In short, the purpose of the regulations is to protect domestic industries."
section11,word,industry,産業,[],"In short, the purpose of the regulations is to protect domestic industries."
section11,word,in order to do,～する目的で,[],"In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest."
section11,word,keep ～up,～を維持する,[],"In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest."
section11,word,competitiveness,(製品などの)競争力,[],"In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest."
section11,word,undertake,～に着手する,[],"In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest."
section11,word,sweeping,(変化などが)大幅な,[],"In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest."
section11,word,deregulation,規制緩和[撤廃],[],"In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest."
section11,word,in earnest,【形】真剣に[な],[],"In order to keep up its competitiveness in the world, Japan must undertake sweeping deregulation in earnest."
section12,word,turn one's back on,～に背を向ける,[],We cannot turn our backs on desperate people who are at risk.
section12,word,desperate,(人が)わらにもすがる思いの,[],We cannot turn our backs on desperate people who are at risk.
section12,word,be at risk (of[for] ～),(～の)危険[危機]にさらされている,[],We cannot turn our backs on desperate people who are at risk.
section12,word,parliament,議会,[],The parliament decided to provide developing countries with financial aid.
section12,word,provide A with B,AにBを提供する,[],The parliament decided to provide developing countries with financial aid.
section12,word,developing country,発展途上国,[],The parliament decided to provide developing countries with financial aid.
section12,word,financial,財政の、財政的な,[],The parliament decided to provide developing countries with financial aid.
section12,word,aid,(財政面・物資面での)援助,[],The parliament decided to provide developing countries with financial aid.
section12,word,monarchy,君主国、君主政治,[],"Some say the British monarchy should be abolished.What do you think?"""
section12,word,abolish,～(制度・法律など)を廃止する,[],"Some say the British monarchy should be abolished.What do you think?"""
section12,word,What do you think (of/about ～)?,(～について)どう思う？,[],"Some say the British monarchy should be abolished.What do you think?"""
section12,word,seek,～を探し求める,[],They sought shelter from the attack but found no place to hide.
section12,word,shelter,(悪天候や爆撃などから身を守る)安全な場所,[],They sought shelter from the attack but found no place to hide.
section12,word,attack,攻撃,[],They sought shelter from the attack but found no place to hide.
section12,word,hide,隠れる,[],They sought shelter from the attack but found no place to hide.
section12,word,prospect,可能性、見込み,[],There's little prospect that the two countries will make significant progress in disarmament.
section12,word,significant,(注目に値する)大きな,[],There's little prospect that the two countries will make significant progress in disarmament.
section12,word,make～progress (in A),(Aで)～な進歩[進展]をする,[],There's little prospect that the two countries will make significant progress in disarmament.
section12,word,disarmament,軍備縮小,[],There's little prospect that the two countries will make significant progress in disarmament.
section12,word,negotiation,[-s]交渉,[],"The negotiations are under way. Before long, they will enter a crucial phase."
section12,word,be under way,(ある状況が)進行中である,[],"The negotiations are under way. Before long, they will enter a crucial phase."
section12,word,before long,間もなく、近いうちに,[],"The negotiations are under way. Before long, they will enter a crucial phase."
section12,word,enter,～に入る,[],"The negotiations are under way. Before long, they will enter a crucial phase."
section12,word,crucial,極めて重大[重要]な,[],"The negotiations are under way. Before long, they will enter a crucial phase."
section12,word,phase,(段階的に変化する)局面、段階,[],"The negotiations are under way. Before long, they will enter a crucial phase."
section12,word,slave,奴隷,[],The slaves were anxious to alter their destinies.
section12,word,be anxious to do,～したいと切望している,[],The slaves were anxious to alter their destinies.
section12,word,alter,～を(部分的に)変える,[],The slaves were anxious to alter their destinies.
section12,word,destiny,運命,[],The slaves were anxious to alter their destinies.
section12,word,aristocrat,貴族(の一人),[],The aristocrats abused their privileges to their hearts' content.
section12,word,abuse,～を乱用[悪用]する,[],The aristocrats abused their privileges to their hearts' content.
section12,word,privilege,特権,[],The aristocrats abused their privileges to their hearts' content.
section12,word,do～to one's heart's content,思う存分に～する,[],The aristocrats abused their privileges to their hearts' content.
section12,word,revolution,革命,[],"The revolution in itself, bore no fruit, after all."
section12,word,in itself,それ自体は[が],[],"The revolution in itself, bore no fruit, after all."
section12,word,bear,～(果実)を実らす,[],"The revolution in itself, bore no fruit, after all."
section12,word,bear fruit,(交渉などが)成果を生む,[],"The revolution in itself, bore no fruit, after all."
section12,word,after all,結局、やはり,[],"The revolution in itself, bore no fruit, after all."
section13,word,cut in (on～),（～(会話など)に)割り込む,[],"Bob cut in on our conversation, saying, ""I'm against it!"" But everybody ignored him."
section13,word,conversation,会話,[],"Bob cut in on our conversation, saying, ""I'm against it!"" But everybody ignored him."
section13,word,be against,～(意見など)に反対である,[],"Bob cut in on our conversation, saying, ""I'm against it!"" But everybody ignored him."
section13,word,ignore,～を無視する,[],"Bob cut in on our conversation, saying, ""I'm against it!"" But everybody ignored him."
section13,word,skip,～(順番など)を飛ばす,[],We skipped his turn on purpose.
section13,word,turn,順番,[],We skipped his turn on purpose.
section13,word,on purpose,わざと,[],We skipped his turn on purpose.
section13,word,bully,(～を)いじめる,[],"He saw someone being bullied, but he turned a blind eye."
section13,word,turn a blind eye (to～),(～を)見て見ぬふりをする,[],"He saw someone being bullied, but he turned a blind eye."
section13,word,cheat on,～で不正行為[カンニング]をする,[],"When Nick and I cheated on an exam, I was suspended from school. As for Nick, he got away with it."
section13,word,suspend,～を停職[停学]にする、つるす,[],"When Nick and I cheated on an exam, I was suspended from school. As for Nick, he got away with it."
section13,word,as for,～はと言うと,[],"When Nick and I cheated on an exam, I was suspended from school. As for Nick, he got away with it."
section13,word,get away with,～の罪をまんまと逃れる,[],"When Nick and I cheated on an exam, I was suspended from school. As for Nick, he got away with it."
section13,word,hostile (to/toward),(～に対して)敵対的な,[],They are hostile to Richard because they are jealous of his wealth and status.
section13,word,be jealous of,～を妬んでいる,[],They are hostile to Richard because they are jealous of his wealth and status.
section13,word,wealth,富,[],They are hostile to Richard because they are jealous of his wealth and status.
section13,word,status,(社会的な高い)地位,[],They are hostile to Richard because they are jealous of his wealth and status.
section13,word,hate,～が大嫌い,[],I hate him! He behaves as if he were somebody.
section13,word,behave,(～のように)振る舞う,[],I hate him! He behaves as if he were somebody.
section13,word,as if[though],まるで～であるかのように,[],I hate him! He behaves as if he were somebody.
section13,word,somebody,すごい人、大物,[],I hate him! He behaves as if he were somebody.
section13,word,in spite of,～にもかかわらず、～なのに,[],"In spite of our compliments, he frowned and turned away.He was so rude!"
section13,word,compliment,ほめ言葉,[],"In spite of our compliments, he frowned and turned away.He was so rude!"
section13,word,frown,顔をしかめる,[],"In spite of our compliments, he frowned and turned away.He was so rude!"
section13,word,turn away,顔をそむける,[],"In spite of our compliments, he frowned and turned away.He was so rude!"
section13,word,rude,失礼な,[],"In spite of our compliments, he frowned and turned away.He was so rude!"
section13,word,claim,(事実は)～だと主張[断言]する,[],He claimed that the enormous property was at his disposal.
section13,word,enormous,莫大な,[],He claimed that the enormous property was at his disposal.
section13,word,property,(集合的に)財産,[],He claimed that the enormous property was at his disposal.
section13,word,at one's disposal,～の自由にできる,[],He claimed that the enormous property was at his disposal.
section13,word,the 比較級 S+V、the 比較級 S+V,～すればするほど～,[],He claimed that the enormous property was at his disposal.
section13,word,stubborn,頑固な,[],"The more stubborn you are, the more isolated you become."
section13,word,isolated,孤立した,[],"The more stubborn you are, the more isolated you become."
section13,word,beat around the bush,話をじらす,[],"Don't beat around the bush! What am I supposed to do? ""Just wait and see. Time will tell."""
section13,word,be supposed to do,(当然)～するものだと思われている,[],"Don't beat around the bush! What am I supposed to do? ""Just wait and see. Time will tell."""
section13,word,Just wait and see.,慌てずに待つしかないよ,[],"Don't beat around the bush! What am I supposed to do? ""Just wait and see. Time will tell."""
section13,word,(Only) time will tell.,時が経てば分かる,[],"Don't beat around the bush! What am I supposed to do? ""Just wait and see. Time will tell."""
section14,word,hand ～ in,～(レポートなど)を提出する,[],Please hand in your assignment via e-mail no later than 5:00 PM on |une 10.
section14,word,assignment,(研究)課題、宿題,[],Please hand in your assignment via e-mail no later than 5:00 PM on |une 10.
section14,word,via,～を使って,[],Please hand in your assignment via e-mail no later than 5:00 PM on |une 10.
section14,word,no[not] later than,～までに,[],Please hand in your assignment via e-mail no later than 5:00 PM on |une 10.
section14,word,anything but,とても～とは思えない、決して～ではない,[],Joe is anything but diligent. That's why he flunked math again.
section14,word,diligent,勤勉な,[],Joe is anything but diligent. That's why he flunked math again.
section14,word,That's why,(前の文を受けて)そういうわけで～だ,[],Joe is anything but diligent. That's why he flunked math again.
section14,word,flunk,(～(科目・学科))を落とす,[],Joe is anything but diligent. That's why he flunked math again.
section14,word,math,数学,[],Joe is anything but diligent. That's why he flunked math again.
section14,word,thesis,(学位)論文,[],"His thesis doesn't make sense. To begin with, its theme is obscure."
section14,word,make sense,意味をなす,[],"His thesis doesn't make sense. To begin with, its theme is obscure."
section14,word,to begin[start] with,(文頭で)まず(第一に),[],"His thesis doesn't make sense. To begin with, its theme is obscure."
section14,word,theme,主題,[],"His thesis doesn't make sense. To begin with, its theme is obscure."
section14,word,obscure,曖昧な,[],"His thesis doesn't make sense. To begin with, its theme is obscure."
section14,word,essay,小論文,[],His essay was concise and to the point.
section14,word,concise,簡潔な,[],His essay was concise and to the point.
section14,word,to the point,要領を得た,[],His essay was concise and to the point.
section14,word,deal with,～(問題など)に対処する、～を処理する,[],"How are you going to deal with this complicated problem? ""Leave it to me! It's a piece of cake."""
section14,word,complicated,複雑な、込み入った,[],"How are you going to deal with this complicated problem? ""Leave it to me! It's a piece of cake."""
section14,word,leave A to B,A(仕事など)をB(人)に任せる,[],"How are you going to deal with this complicated problem? ""Leave it to me! It's a piece of cake."""
section14,word,(It's) a piece of cake.,朝飯前だよ,[],"How are you going to deal with this complicated problem? ""Leave it to me! It's a piece of cake."""
section14,word,look ～ over,～(書類など)にざっと目を通す,[],"Nick, I want you to look this over before I turn it in. ""Sorry, but I have my hands full right now."""
section14,word,turn ～ in,{米}～を提出する,[],"Nick, I want you to look this over before I turn it in. ""Sorry, but I have my hands full right now."""
section14,word,I have my hands full.,手が放せないんだ,[],"Nick, I want you to look this over before I turn it in. ""Sorry, but I have my hands full right now."""
section14,word,right now,今現在,[],"Nick, I want you to look this over before I turn it in. ""Sorry, but I have my hands full right now."""
section14,word,What if ～?,もし～ならどうなるだろう？,[],"What if I don't meet the deadline? ""I bet he'll get mad at you!"""
section14,word,meet,～(基準・要求など)を満たす,[],"What if I don't meet the deadline? ""I bet he'll get mad at you!"""
section14,word,meet the deadline,期限に間に合わせる,[],"What if I don't meet the deadline? ""I bet he'll get mad at you!"""
section14,word,I bet (that) ～,きっと～だ,[],"What if I don't meet the deadline? ""I bet he'll get mad at you!"""
section14,word,get[be] mad[angry] at,～(人)に腹を立てる[腹を立てている],[],"What if I don't meet the deadline? ""I bet he'll get mad at you!"""
section14,word,summary,要約,[],"What if I don't meet the deadline? ""I bet he'll get mad at you!"""
section14,word,leave nothing to be desired,申し分ない,[],Your summary leaves nothing to be desired apart from the terrible handwriting.
section14,word,apart[aside] from,～以外は,[],Your summary leaves nothing to be desired apart from the terrible handwriting.
section14,word,terrible,(程度などが)ひどい,[],Your summary leaves nothing to be desired apart from the terrible handwriting.
section14,word,handwriting,(手書きの)字,[],Your summary leaves nothing to be desired apart from the terrible handwriting.
